latitude,longitude,acq_date,satellite,confidence,frp,daynight,sensor,provinsi,frp_band,acq_datetime
-3.09391,115.12108,2026-08-19,T,87,25.32,D,modis,South Kalimantan,Sedang,2026-08-19 01:02:00
-3.09266,115.11224,2026-08-19,T,87,25.23,D,modis,South Kalimantan,Sedang,2026-08-19 01:02:00
-3.08506,115.1223,2026-08-19,T,90,35.36,D,modis,South Kalimantan,Sedang,2026-08-19 01:02:00
-3.08381,115.11346,2026-08-19,T,76,12.57,D,modis,South Kalimantan,Rendah,2026-08-19 01:02:00
-3.07621,115.12352,2026-08-19,T,54,9.3,D,modis,South Kalimantan,Rendah,2026-08-19 01:02:00
-2.63271,112.22961,2026-08-19,T,78,19.26,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-3.03456,115.16225,2026-08-19,T,44,5.21,D,modis,South Kalimantan,Rendah,2026-08-19 01:02:00
-3.0333,115.1534,2026-08-19,T,69,8.13,D,modis,South Kalimantan,Rendah,2026-08-19 01:02:00
-2.36049,110.4855,2026-08-19,T,80,40.6,D,modis,West Kalimantan,Sedang,2026-08-19 01:02:00
-3.02571,115.16346,2026-08-19,T,41,5.84,D,modis,South Kalimantan,Rendah,2026-08-19 01:02:00
-2.69468,112.85812,2026-08-19,T,57,6.8,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-3.04955,115.52296,2026-08-19,T,60,7.18,D,modis,South Kalimantan,Rendah,2026-08-19 01:02:00
-2.86371,112.88053,2026-08-19,T,94,55.72,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-2.34632,114.09351,2026-08-19,T,26,7.39,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.88343,112.88749,2026-08-19,T,94,55.3,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-2.28163,114.021,2026-08-19,T,49,6.78,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.38848,114.28849,2026-08-19,T,47,4.04,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.38721,114.27963,2026-08-19,T,48,4.2,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.37495,114.26975,2026-08-19,T,49,5.19,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.37366,114.3241,2026-08-19,T,43,4.45,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.3204,114.14133,2026-08-19,T,72,16.86,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.32935,114.26701,2026-08-19,T,75,12.91,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.32808,114.25814,2026-08-19,T,100,89.84,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-1.32681,114.24928,2026-08-19,T,77,14.34,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-1.2156,114.94937,2026-08-19,T,73,9.51,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-0.48652,112.04023,2026-08-19,T,81,24.53,D,modis,West Kalimantan,Sedang,2026-08-19 01:02:00
-0.48492,112.02889,2026-08-19,T,73,13.98,D,modis,West Kalimantan,Rendah,2026-08-19 01:02:00
-0.48732,112.18698,2026-08-19,T,56,5.74,D,modis,West Kalimantan,Rendah,2026-08-19 01:02:00
-0.44281,116.39137,2026-08-19,T,84,20.54,D,modis,East Kalimantan,Sedang,2026-08-19 01:02:00
-0.4415,116.38221,2026-08-19,T,55,18.58,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
-0.90812,110.46743,2026-08-19,T,53,17.5,D,modis,West Kalimantan,Rendah,2026-08-19 01:02:00
-0.43381,116.39261,2026-08-19,T,84,21.75,D,modis,East Kalimantan,Sedang,2026-08-19 01:02:00
-0.14473,115.72301,2026-08-19,T,81,17.54,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
0.74377,112.02336,2026-08-19,T,57,9.51,D,modis,West Kalimantan,Rendah,2026-08-19 01:02:00
1.94721,117.287,2026-08-19,T,71,7.34,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
1.9617,117.25059,2026-08-19,T,67,6.04,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
1.96706,117.21297,2026-08-19,T,65,5.9,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
2.1531,117.13708,2026-08-19,T,74,11.49,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
2.2215,116.98308,2026-08-19,T,71,9.08,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
2.24417,117.8572,2026-08-19,T,59,6.55,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
2.24559,117.84724,2026-08-19,T,61,7.18,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
2.27623,117.87772,2026-08-19,T,84,25.6,D,modis,East Kalimantan,Sedang,2026-08-19 01:02:00
2.27768,117.86774,2026-08-19,T,67,7.25,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
2.27834,117.92896,2026-08-19,T,34,5.94,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
2.39589,117.95194,2026-08-19,T,85,29.27,D,modis,East Kalimantan,Sedang,2026-08-19 01:02:00
-1.73981,110.16963,2026-08-19,T,91,126.7,D,modis,West Kalimantan,Tinggi,2026-08-19 01:02:00
-0.14599,115.73183,2026-08-19,T,69,7.83,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
-1.59671,114.78265,2026-08-19,T,50,4.2,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
2.11921,117.17986,2026-08-19,T,67,7.09,D,modis,East Kalimantan,Rendah,2026-08-19 01:02:00
