acq_datetime;acq_date;latitude;longitude;frp;frp_band;provinsi;provinsi_id;sensor;satellite;confidence;daynight
2026-08-22 05:53:00;2026-08-22;-1,9241;110,1659;5,01;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,9247;110,1617;5,01;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,5091;110,1869;9,55;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,3661;113,9405;6,58;Rendah;Central Kalimantan;Kalimantan Tengah;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,3768;110,3791;8,92;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,7389;110,9269;10,27;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,9009;110,2067;4,35;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,0045;116,8944;3,96;Rendah;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,0835;109,9243;8,95;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,122;109,6788;20,25;Sedang;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,1227;109,6744;11,6;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-0,0775;116,393;6,79;Rendah;East Kalimantan;Kalimantan Timur;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,1175;109,6782;10,1;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,0673;109,9701;3,52;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-1,113;109,6775;10,1;Rendah;West Kalimantan;Kalimantan Barat;viirs;N;nominal;D
